Unique Id,Company Name,City,State,Type,Status,Abbreviation
FAG,FAGOR AUTOMATION,Rolling Meadows,Illinois,vendor,Active,
FASTECH,FASTECH INC.,Findlay,Ohio,vendor,Active,
FASTENAL,FASTENAL COMPANY,Corbin,Kentucky,vendor,Active,
FAXON,"Faxon Machining, Inc.",,Washington,Client Vendor,Active,
FINKL,FINKL STEEL,Chicago,Illinois,Client Vendor,Active,
FRG,FORGE RESOURCE GROUP,DeKalb,Illinois,Client Vendor,Active,FRG
FPL,FPL Door Locks,,Washington,Client Vendor,Active,
GLO-IND,GLOBAL INDUSTRIAL,Chicago,Illinois,vendor,Active,
GRAINGER,GRAINGER,Palatine,Illinois,vendor,Active,
GRAYBAR,GRAYBAR,Lexington,Kentucky,vendor,Active,
GRIEVE,GRIEVE CORP.,Round Lake,Illinois,vendor,Active,
GRIP,GRIP-TITE MANUFACTURING CO. LLC,Winterset,Iowa,Client Vendor,Active,Grip Tite
HAR-FRE,HARBOR FREIGHT,Somerset,Kentucky,vendor,Active,
HART,Hartford Heat Treat,New Albany,Indiana,Client Vendor,Active,
HT EQUIP,"HEAT TREAT EQUIPMENT, INC.",Canton,Michigan,vendor,Active,
HEATMAX,HEATMAX HEATERS,Mentor,Ohio,vendor,Active,
HENNIG,HENNIG,Machesney Park,Illinois,vendor,Active,
HEX,"HEXAGON METROLOGY, INC.",Chicago,Illinois,vendor,Active,
HAA,"HITACHI ASTEMO, LTD.",Berea,Kentucky,Client Vendor,Active,Hitachi
HOLSTON,HOLSTON GASES,Somerset,Kentucky,vendor,Active,Honeywell
HNWL,Honeywell Intelligrated,Danville,Kentucky,Client Vendor,Active,
HYSON,HYSON,Brecksville,Ohio,vendor,Active,
IBC,"IBC COATINGS TECHNOLOGIES, LTD.",Lebanon,Indiana,vendor,Active,
IGUS,IGUS,Rumford,Rhode Island,vendor,Active,
ILJIN,ILJIN,Auburn,Alabama,Client Vendor,Active,Iljin
IND-AUTO,INDUSTRIAL AUTOMATION COMPANY,Morrisville,North Carolina,vendor,Active,
ICI,INTERNATIONAL CRANKSHAFT INC.,Georgetown,Kentucky,Client Vendor,Active,ICI
IMSTEEL,"INTERNATIONAL MOLD STEEL, INC.",Florence,Kentucky,vendor,Active,
JR-SER,J R SERVICES,New Prague,Minnesota,vendor,Active,
J & M,J&M TOOL CUTTER GRINDING INC.,Corbin,Kentucky,vendor,Active,
JDM,JD MADDEN TRANSPORTATION,Conneaut Lake,Pennsylvania,vendor,Active,
JEN-HT,JENSEN HEAT TECHNOLOGIES,Brighton,Michigan,vendor,Active,
JMAC,JMAC SUPPLY CORP,West Hempstead,New York,vendor,Active,
JW-WINCO,JW WINCO,New Berlin,Wisconsin,vendor,Active,
KJM,K&J Magnetics,Pipersville,Pennsylvania,vendor,Active,
K&J-MAG,"K&J MAGNETICS, INC.",Pipersville,Pennsylvania,vendor,Active,
KAM-SALES,KAMMERER SALES CO,Cincinnati,Ohio,vendor,Active,
KES,KENT ELECTRICAL SUPPLY LLC,Whitehall,Pennsylvania,vendor,Active,
KWRS,KENTUCKIANA WIRE ROPE AND SUPPLY,Jeffersonville,Indiana,vendor,Active,
KY-PRINT,KENTUCKY PRINTING,Richmond,Kentucky,vendor,Active,
KEY-BEL,"KEY BELLEVILLES, INC.",Leechburg,Pennsylvania,vendor,Active,
KI,KI USA,Berea,Kentucky,Client Vendor,Active,KI
KON-CRA,KONE CRANES,Pittsburg,Pennsylvania,vendor,Active,
KRIS,KRIS BOWERMAN,Richmond,Kentucky,vendor,Active,
KURT-WORK,KURT WORKHOLDING,Minneapolis,Minnesota,vendor,Active,
U OF L,KY-MEP,Louisville,Kentucky,vendor,Active,
L&G-TRUCK,L&G TRUCKING LLC,Mt. Vernon,Kentucky,vendor,Active,
LAB-DIR,"LABELS DIRECT, INC.",Chesterfield,Missouri,vendor,Active,
LAK-SAND,LAKESIDE SANDBLASTING LLC,Nancy,Kentucky,vendor,Active,
LEB-LTD,LEBLOND LTD,Amelia,Ohio,vendor,Active,
LENOVO,LENOVO,,Washington,vendor,Active,
LM,LIMESTONE MANUFACTURING,Somerset,Kentucky,vendor,Active,
LBELT,Link-Belt Cranes,Lexington,Kentucky,Client Vendor,Active,
LOREX,LOREX,Markham,Ontario,vendor,Active,
LOU-GEE,"LOUISVILLE GEEK, LLC",Louisville,Kentucky,vendor,Active,
LOWE'S,LOWE'S,Somerset,Kentucky,vendor,Active,
LUC-FUR,LUCIFER FURNACES,Warrington,Pennsylvania,vendor,Active,
LK,LUMBER KING,Mount Vernon,Kentucky,vendor,Active,
MACH-RES,"MACHINING RESOURCES, LLC",Portland,Tennessee,vendor,Active,
MAC1,"MACRODYNE TECHNOLOGIES, INC.",Concord,Ontario,Client Vendor,Active,
