ObjId,ObjType,ObjTxt,DescrTxt,EntryDate,OrderNo,Norm,Supplier,StorageLocation
3630,11,C-241,M12x1.75 ISO Form Tap - Pulley Length,2024-12-17 03:00:00,OSG-1635512721,OSG,Rocket Supply,ZTO_3
3632,11,C-242,"3/16"" OSG HY-PRO Stub Length Carbide Drill - 3D",2024-12-17 03:00:00,OSG-HP243-1874,OSG,Rocket Supply,ZTO_3
3634,11,C-243,"0.734"" Allied TA Pro Cobalt Insert",2024-12-17 03:00:00,ALLI-TAX1-18.65,Allied,Rocket Supply,ZTO_3
3636,11,C-244,"1 3/8""-12 UNF OSG Form Tap",2024-12-17 03:00:00,OSG-1625013126,OSG,Rocket Supply,ZTO_3
3638,11,C-245,M36x4.0 ISO OSG Form Tap,2024-12-17 03:00:00,OSG-1635036411,OSG,Rocket Supply,ZTO_3
3640,11,C-246,"5/16""-18 UNC OSG Form Tap - Pulley Length",2024-12-17 03:00:00,OSG-1625556127,OSG,Rocket Supply,ZTO_3
3642,11,C-247,"0.375"" OSG HY-PRO Carbide Drill - 5D",2024-12-17 03:00:00,OSG-HP255-3748,OSG,Rocket Supply,ZTO_3
3644,11,C-248,"1/4"" BSPP OSG A-Brand Cut Tap",2024-12-17 03:00:00,OSG-1658002008,OSG,Rocket Supply,ZTO_3
3646,11,C-249,"1 1/8""-7 UNC OSG Form Tap",2024-12-17 03:00:00,OSG-1625011878,OSG,Rocket Supply,ZTO_3
3648,11,C-250,"1.248"" Ingersoll Multi-Surfer T-Slot Cutter Tip",2024-12-17 03:00:00,INGE-06311133,Ingersoll,Rocket Supply,ZTO_3
3650,11,C-251,M30x3.5 ISO OSG Form Tap,2024-12-17 03:00:00,OSG-163503050,OSG,Rocket Supply,ZTO_3
3652,11,C-252,"3/4""-10 UNC Form Tap - Pulley Length",2024-12-17 03:00:00,OSG-1625543127,OSG,Rocket Supply,ZTO_3
3654,11,C-253,"0.578"" OSG HY-PRO Carbide Drill - 5D",2024-12-17 03:00:00,OSG-HP-245-5787,OSG,Rocket Supply,ZTO_3
3656,11,C-254,"0.625"" T06 Ingersoll Chip Surfer T-Slot Cutter Tip",2024-12-17 03:00:00,INGE-2931919,Ingersoll,Rocket Supply,ZTO_3
3658,11,C-255,"3/16"" OSG A-Brand Taper Length Carbide Drill - 20D",2024-12-17 03:00:00,OSG-654018712,OSG,Rocket Supply,ZTO_3
3660,11,C-256,"1.250"" Ingersoll RapidThread Indexable Threadmill - 6"" OAL - 30mm Insert Length",2024-12-17 03:00:00,INGE-2945172,Ingersoll,Rocket Supply,ZTO_3
3662,11,C-257,"0.205"" OSG A-Brand Carbide Drill - 5D",2024-12-17 03:00:00,OSG-8692520,OSG,Rocket Supply,ZTO_3
3664,11,C-258,M6x1.0 ISO OSG A-Brand AT-1 Threadmill,2024-12-17 03:00:00,OSG-8331001,OSG,Rocket Supply,ZTO_3
